mapping_id,colloquial_expression,mapped_standard_terms,mapped_issue,mapped_domain,source_node_ids,confidence,review_status,notes
mapping_99e04bbc6a0a,What does address-harvesting software mean in this source?,"[""address-harvesting software"", ""applicable message"", ""applicable telephone number"", ""collect data"", ""business"", ""digital governance""]",unknown,digital governance,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0048_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0082_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_ffc2c6902bd5,What does appeal mean in this source?,"[""appeal"", ""authority""]",unknown,unknown,"[""personal_data_protection_act_2012_e857c5e9da_chunk_0193_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_92ca8e4cdca8,What does applicable purpose mean in this source?,"[""applicable purpose"", ""authority""]",unknown,unknown,"[""personal_data_protection_act_2012_e857c5e9da_chunk_0067_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_d329cecb21d2,What does appointed day mean in this source?,"[""appointed day"", ""nominee director"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0436_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_18629807ea13,What does business day mean in this source?,"[""business day"", ""business""]",consent_requirement,unknown,"[""companies_act_1967_c8232023ef_chunk_0047_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_70e22290b76b,What does calling line identity mean in this source?,"[""calling line identity"", ""checker"", ""goods"", ""message"", ""register"", ""consumer protection""]",unknown,unknown,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0038_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0061_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_854f2ea54493,What does commencement date mean in this source?,"[""commencement date"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0903_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_4fb988294f78,What does complainant mean in this source?,"[""complainant"", ""business""]",consent_requirement,unknown,"[""companies_act_1967_c8232023ef_chunk_0812_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_124df1ff49cc,What does consent mean in this source?,"[""consent"", ""notify"", ""authority"", ""business"", ""data protection"", ""obtain consent"", ""disclosure"", ""offence"", ""disclose data"", ""liability"", ""individual"", ""foreign company""]",personal_data_protection,data protection,"[""companies_act_1967_c8232023ef_chunk_0017_ast"", ""companies_act_1967_c8232023ef_chunk_0074_ast"", ""companies_act_1967_c8232023ef_chunk_0101_ast"", ""companies_act_1967_c8232023ef_chunk_0102_ast"", ""companies_act_1967_c8232023ef_chunk_0103_ast"", ""companies_act_1967_c8232023ef_chunk_0170_ast"", ""companies_act_1967_c8232023ef_chunk_0171_ast"", ""companies_act_1967_c8232023ef_chunk_0189_ast"", ""companies_act_1967_c8232023ef_chunk_0191_ast"", ""companies_act_1967_c8232023ef_chunk_0212_ast"", ""companies_act_1967_c8232023ef_chunk_0256_ast"", ""companies_act_1967_c8232023ef_chunk_0258_ast"", ""companies_act_1967_c8232023ef_chunk_0312_ast"", ""companies_act_1967_c8232023ef_chunk_0314_ast"", ""companies_act_1967_c8232023ef_chunk_0317_ast"", ""companies_act_1967_c8232023ef_chunk_0319_ast"", ""companies_act_1967_c8232023ef_chunk_0320_ast"", ""companies_act_1967_c8232023ef_chunk_0357_ast"", ""companies_act_1967_c8232023ef_chunk_0437_ast"", ""companies_act_1967_c8232023ef_chunk_0439_ast"", ""companies_act_1967_c8232023ef_chunk_0454_ast"", ""companies_act_1967_c8232023ef_chunk_0542_ast"", ""companies_act_1967_c8232023ef_chunk_0559_ast"", ""companies_act_1967_c8232023ef_chunk_0572_ast"", ""companies_act_1967_c8232023ef_chunk_0573_ast"", ""companies_act_1967_c8232023ef_chunk_0647_ast"", ""companies_act_1967_c8232023ef_chunk_0720_ast"", ""companies_act_1967_c8232023ef_chunk_0721_ast"", ""companies_act_1967_c8232023ef_chunk_0722_ast"", ""companies_act_1967_c8232023ef_chunk_0828_ast"", ""companies_act_1967_c8232023ef_chunk_0836_ast"", ""companies_act_1967_c8232023ef_chunk_0837_ast"", ""companies_act_1967_c8232023ef_chunk_0845_ast"", ""companies_act_1967_c8232023ef_chunk_0850_ast"", ""companies_act_1967_c8232023ef_chunk_0892_ast"", ""companies_act_1967_c8232023ef_chunk_0900_ast"", ""companies_act_1967_c8232023ef_chunk_0901_ast"", ""companies_act_1967_c8232023ef_chunk_0930_ast"", ""companies_act_1967_c8232023ef_chunk_0931_ast"", ""companies_act_1967_c8232023ef_chunk_1008_ast"", ""companies_act_1967_c8232023ef_chunk_1009_ast"", ""companies_act_1967_c8232023ef_chunk_1030_ast"", ""companies_act_1967_c8232023ef_chunk_1033_ast"", ""companies_act_1967_c8232023ef_chunk_1040_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0013_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0024_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0033_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0075_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0106_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0042_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0047_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0053_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0067_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0099_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0103_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0004_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0073_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0077_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0078_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0079_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0081_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0100_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0133_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0137_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0145_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0153_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_34fb64fdceb7,What does consolidated total assets mean in this source?,"[""consolidated total assets"", ""consolidated revenue"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_1081_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_9ce57dcccf23,What does contingent purchase contract mean in this source?,"[""contingent purchase contract"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0323_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_716e62408d14,What does control mean in this source?,"[""control""]",unknown,unknown,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0052_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0065_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0086_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_a55cff87892e,What does corporation mean in this source?,"[""corporation"", ""notify"", ""authority"", ""business"", ""consumer protection""]",unknown,consumer protection,"[""companies_act_1967_c8232023ef_chunk_0050_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_5e58aa7ec202,What does credit transaction mean in this source?,"[""credit transaction"", ""quasi-loan"", ""business""]",consent_requirement,unknown,"[""companies_act_1967_c8232023ef_chunk_0502_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_c851e98207c2,What does data controller mean in this source?,"[""data controller"", ""comply with obligation"", ""authority"", ""data protection"", ""business""]",personal_data_protection,data protection,"[""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0096_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0109_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0110_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_30e46c01aad0,What does data protection mean in this source?,"[""data protection"", ""data subject"", ""data controller"", ""authority"", ""notify"", ""Appeal Committee"", ""organisation"", ""individual"", ""offence"", ""liability"", ""Appeal Panel"", ""enforcement""]",personal_data_protection,data protection,"[""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0028_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0073_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0085_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0094_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0005_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0087_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0088_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0006_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0009_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0023_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0026_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0027_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0121_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0186_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_6967e6044bfb,What does data subject mean in this source?,"[""data subject"", ""data protection"", ""data controller"", ""enforcement"", ""comply with obligation"", ""notify"", ""collect data"", ""business""]",personal_data_protection,data protection,"[""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0007_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0051_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0097_ast"", ""entranslation_of_the_personal_data_protection_act_0_1c77b4099e_chunk_0100_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_62188cebac29,What does declared company mean in this source?,"[""declared company"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0817_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_09a389ce7537,What does default penalty mean in this source?,"[""default penalty"", ""electronic communication"", ""process data"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0052_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_e8fe8514cefc,What does dictionary attack mean in this source?,"[""dictionary attack""]",unknown,unknown,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0049_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_c59f8bd89512,What does directors’ statement mean in this source?,"[""directors’ statement"", ""entity"", ""financial statements"", ""parent company"", ""subsidiary company"", ""subsidiary corporation""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0752_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_91815db5a303,What does disclosure mean in this source?,"[""disclosure"", ""individual"", ""offence"", ""liability"", ""disclose data"", ""authority"", ""business"", ""data protection"", ""comply with obligation"", ""notify"", ""organisation"", ""enforcement""]",personal_data_protection,data protection,"[""companies_act_1967_c8232023ef_chunk_0015_ast"", ""companies_act_1967_c8232023ef_chunk_0016_ast"", ""companies_act_1967_c8232023ef_chunk_0225_ast"", ""companies_act_1967_c8232023ef_chunk_0479_ast"", ""companies_act_1967_c8232023ef_chunk_0490_ast"", ""companies_act_1967_c8232023ef_chunk_0526_ast"", ""companies_act_1967_c8232023ef_chunk_0528_ast"", ""companies_act_1967_c8232023ef_chunk_0533_ast"", ""companies_act_1967_c8232023ef_chunk_0539_ast"", ""companies_act_1967_c8232023ef_chunk_0846_ast"", ""companies_act_1967_c8232023ef_chunk_1020_ast"", ""companies_act_1967_c8232023ef_chunk_1083_ast"", ""companies_act_1967_c8232023ef_chunk_1085_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0028_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0037_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0109_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0159_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0163_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0059_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0146_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0176_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_747301e3fe71,What does electronic record mean in this source?,"[""electronic record"", ""company record"", ""in electronic form"", ""in hard copy form"", ""retain records"", ""business""]",unknown,electronic transactions,"[""companies_act_1967_c8232023ef_chunk_1022_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_3905b905b327,What does electronic transaction system mean in this source?,"[""electronic transaction system"", ""exempt private company"", ""business"", ""electronic transactions""]",unknown,electronic transactions,"[""companies_act_1967_c8232023ef_chunk_0053_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_2ba323428b32,What does enforcement mean in this source?,"[""enforcement"", ""authority"", ""business"", ""electronic transactions"", ""financial statements"", ""applicable contravention"", ""specified purpose""]",unknown,electronic transactions,"[""companies_act_1967_c8232023ef_chunk_0002_ast"", ""companies_act_1967_c8232023ef_chunk_1000_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0066_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0191_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_f9308bb57b4d,What does entrenching provision mean in this source?,"[""entrenching provision"", ""business""]",consent_requirement,unknown,"[""companies_act_1967_c8232023ef_chunk_0169_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_23e78aecabb6,What does equal access scheme mean in this source?,"[""equal access scheme"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0310_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
